iter	RMSE
0	6.662911657
1	6.426889392
2	6.327647154
3	6.264971989
4	6.215708287
5	6.171673636
6	6.150510006
7	6.117463769
8	6.100747908
9	6.089965783
10	6.070283349
11	6.058405083
12	6.03598737
13	6.012371354
14	6.006727489
15	5.997442639
16	5.98958163
17	5.97693982
18	5.961170214
19	5.948490362
20	5.940807482
21	5.935045074
22	5.925001477
23	5.9114242
24	5.901308271
25	5.883680666
26	5.877483996
27	5.86491596
28	5.855265883
29	5.84574673
30	5.836952358
31	5.824702552
32	5.810263234
33	5.798273458
34	5.7871877
35	5.772684449
36	5.760446099
37	5.751730437
38	5.739555252
39	5.728086083
40	5.72136536
41	5.710509064
42	5.701686541
43	5.694396726
44	5.68200285
45	5.675699375
46	5.664444236
47	5.648034315
48	5.639096497
49	5.631935393
50	5.630620861
51	5.624990484
52	5.618720757
53	5.614717866
54	5.604371432
55	5.595018816
56	5.583217781
57	5.57419599
58	5.570011972
59	5.562900351
60	5.555620046
61	5.551042609
62	5.54503016
63	5.544451515
64	5.540290046
65	5.529651902
66	5.523149115
67	5.516169168
68	5.506809818
69	5.497979674
70	5.490280658
71	5.489795443
72	5.482819379
73	5.477045433
74	5.474074921
75	5.469774597
76	5.458197901
77	5.452647711
78	5.444084499
79	5.439554805
80	5.430934495
81	5.424653765
82	5.41722064
83	5.415289726
84	5.406828414
85	5.400209305
86	5.395754118
87	5.390196058
88	5.385375581
89	5.379765378
90	5.373017643
91	5.365103976
92	5.364735385
93	5.35755325
94	5.350044332
95	5.342742427
96	5.342461699
97	5.336087063
98	5.328821298
99	5.321527417
