iter	Passed	Remaining
0	188	18659
1	220	10808
2	249	8075
3	276	6627
4	303	5757
5	355	5564
6	385	5121
7	414	4766
8	443	4488
9	470	4238
10	499	4043
11	527	3871
12	560	3749
13	592	3638
14	619	3508
15	653	3432
16	685	3349
17	712	3247
18	741	3159
19	772	3089
20	799	3008
21	827	2933
22	855	2864
23	888	2813
24	915	2746
25	943	2685
26	972	2628
27	1003	2579
28	1029	2519
29	1057	2467
30	1086	2418
31	1116	2373
32	1141	2317
33	1168	2267
34	1196	2221
35	1226	2181
36	1255	2137
37	1282	2091
38	1311	2050
39	1340	2010
40	1366	1966
41	1394	1925
42	1421	1883
43	1447	1842
44	1477	1806
45	1517	1781
46	1545	1743
47	1574	1705
48	1605	1670
49	1636	1636
50	1660	1595
51	1687	1557
52	1714	1520
53	1741	1483
54	1771	1449
55	1799	1413
56	1828	1379
57	1855	1343
58	1881	1307
59	1908	1272
60	1939	1239
61	1965	1204
62	1998	1173
63	2023	1138
64	2056	1107
65	2090	1076
66	2125	1046
67	2153	1013
68	2182	980
69	2212	948
70	2236	913
71	2264	880
72	2292	848
73	2318	814
74	2346	782
75	2374	749
76	2406	718
77	2432	686
78	2463	654
79	2494	623
80	2523	592
81	2551	560
82	2580	528
83	2607	496
84	2633	464
85	2659	432
86	2686	401
87	2713	369
88	2743	339
89	2771	307
90	2799	276
91	2828	245
92	2856	215
93	2884	184
94	2918	153
95	2947	122
96	2971	91
97	2999	61
98	3026	30
99	3058	0
